title,publisher,capital,rank,dl,rating,review,tag1,tag2,tag3,tag4,tag5,tag6
Uma Musume Pretty Derby,"Cygames, Inc.",Public,4.973 ,1000000,4 ,97100,Simulation,Breeding,Stylized,Anime,-,-
Fate / Grand Order,Aniplex Inc.,Public,8.272 ,1000000,3.8,169000,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Monster Strike,"XFLAG, Inc.",Public,4.768 ,10000000,4,785000,Role Playing,Puzzle Role-playing,Physics-puzzle RPG,Single player,Stylized,Anime
Pokémon GO,"Niantic, Inc.",Public,10.194 ,100000000,3.7,15400000,Action,Action-adventure,Multiplayer,Competitive multiplayer,Stylized,Anime
Professional Baseball Spirits A,KONAMI,Public,5.984 ,1000000,4.2,91800,Sports,Baseball,Multiplayer,Competitive multiplayer,Single player,Realistic
Knives Out,NetEase Games,Public,10.445 ,10000000,3.9,559000,Adventure,-,-,-,-,-
Magia Record: Puella Magi Madoka Magica Side Story,Aniplex Inc.,Public,34.800 ,1000000,4.2,84100,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Puzzle & Dragons,"GungHo Online Entertainment, Inc.",Public,7.597 ,10000000,4.9,142000,Puzzle,Jigsaw,Casual,Single player,Realistic,Offline
Genshin Impact,miHoYo Limited,Private,9.717 ,50000000,4.4,3810000,Role Playing,Action Role-Playing,Single player,Stylized,Anime,-
Dragon Quest Walk,SQUARE ENIX,Public,10.856 ,1000000,3.5,68500,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Ensemble Stars! !! Music,Happy Elements K.K,Private,16.009 ,500000,4.5,19800,Music,Performance,Single player,Stylized,Anime,-
Abandoned Girl: Moehime's Story,C4 CONNECT K.K.,Private,17.271 ,1000000,4.1,96900,Role Playing,Idle RPG,Single player,Stylized,Anime,-
Mafia City: War of Underworld,YOTTA GAMES PTE LTD,Private,23.415 ,100000000,4.1,1280000,Strategy,Build & battle,Casual,Multiplayer,Competitive multiplayer,Single player
Homescapes,Playrix,Private,26.450 ,100000000,3.9,11600000,Puzzle,Match 3,Match 3 adventure,Casual,Single player,Stylized
Puzzles & Survival,37GAMES,Private,15.389 ,10000000,3.9,242000,Role Playing,Puzzle Role-playing,Match 3 RPG,Single player,Stylized,-
LINE: Disney Tsum Tsum,LINE Corporation,Public,22.995 ,10000000,3.8,1220000,Puzzle,-,-,-,-,-
Project Sekai: Colorful Stage! feat. Hatsune Miku,SEGA CORPORATION,Public,19.466 ,1000000,4.4,97300,Music,Rhythm-action,Single player,Stylized,Anime,-
LINE PokoPoko,LINE Corporation,Public,25.565 ,10000000,4.1,453000,Puzzle,Match 3,Casual,Stylized,Cartoon,-
Toon Blast,Peak Games,Public,35.229 ,50000000,4.2,3740000,Puzzle,Pair matching,Casual,Single player,Stylized,Cartoon
Onegai President!,Hong Kong Just Game Technology Limited,Private,34.855 ,500000,3.9,14300,Simulation,Management,Tycoon,Single player,Stylized,-
Sangokushi Shinsen,Qookka Entertainment Limited,Private,25.972 ,100000,4.3,15800,Strategy,Wargame,Single player,Stylized,Stylized-realistic,-
Rise of Kingdoms: Lost Crusade,LILITH TECHNOLOGY HONG KONG LIMITED,Private,37.353 ,500000,4,11800,Strategy,Build & battle,Single player,Multiplayer,Stylized,-
Identity V,NetEase Games,Public,31.635 ,10000000,3.5,778000,Strategy,Asymmetrical battle arena,Casual,Multiplayer,Competitive multiplayer,Stylized
Idolish7,BANDAI NAMCO Online Inc.,Public,31.250 ,500000,4.6,48200,Music,Performance,Stylized,Anime,-,-
Yo-Kai Watch Punipuni,Level-5 Inc.,Private,31.602 ,5000000,4,299000,Puzzle,Match 3,Casual,Single player,Stylized,Anime
Ni no Kuni: Cross Worlds,Netmarble Corporation,Public,36.316 ,1000000,3.3,69500,Role Playing,Action Role-Playing,Stylized,Anime,-,-
My Hero Academia ULTRA IMPACT,BANDAI NAMCO Entertainment Inc.,Public,32.474 ,500000,3.8,12200,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
Romance of the Three Kingdoms,"KOEI TECMO GAMES CO., LTD.",Public,31.252 ,100000,3.9,11500,Strategy,Single player,Stylized,Stylized-realistic,-,-
PUBG MOBILE,KRAFTON Inc,Public,35.679 ,10000000,4.3,1230000,Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer
Call of Duty: Mobile,"Activision Publishing, Inc.",Public,35.985 ,100000000,3.6,15400000,Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer
BanG Dream! Girls Band,Craft Egg Inc.,Public,30.342 ,1000000,4.3,133000,Music,Performance,Single player,Stylized,Anime,-
Arknights,"Yostar, Inc.",Private,25.721 ,1000000,4.6,27000,Strategy,Tower defense,Single player,Stylized,Anime,-
A3!,Liberent,Public,37.667 ,500000,4.5,13900,Simulation,Single player,Stylized,Anime,-,-
Age of Z Origins: Tower Defense,CAMEL GAMES LIMITED,Private,27.737 ,10000000,4,477000,Strategy,4X,Multiplayer,Competitive multiplayer,Single player,Stylized
Dragon Ball Legends,BANDAI NAMCO Entertainment Inc.,Public,23.576 ,1000000,3.9,82900,Action,Fighting,Multiplayer,Competitive multiplayer,Single player,Stylized
Gardenscapes,Playrix,Private,35.510 ,100000000,3.9,11600000,Puzzle,Match 3,Match 3 adventure,Casual,Single player,Stylized
Shadowverse,"Cygames, Inc.",Public,29.117 ,1000000,3.2,65800,Card,Card battler,Casual,Stylized,Anime,-
THE IDOLM @ STER CINDERELLA GIRLS STARLIGHT STAGE,BANDAI NAMCO Entertainment Inc.,Public,30.417 ,1000000,4.2,66700,Music,Performance,Single player,Stylized,Anime,-
eFootball PES 2021,KONAMI,Public,27.911 ,100000000,3.7,10700000,Sports,Soccer,Multiplayer,Competitive multiplayer,Single player,Realistic
Magic Sword Legend,4399TH,Private,39.795 ,500000,3,23700,Role Playing,Single player,Stylized,Stylized-realistic,-,-
Toho Danmakkagra (Dankag),"DeNA Co., Ltd.",Public,38.000 ,100000,3.7,6210,Action,Platformer,Single player,Stylized,Anime,-
Project Makeover,"Magic Tavern, Inc.",Public,41.750 ,50000000,4,659000,Puzzle,Match 3,Match 3 adventure,Casual,Single player,Stylized
Sengoku Enbu - KIZNA -,Sumzap Inc.,Private,39.552 ,1000000,3.7,13500,Role Playing,Single player,Stylized,-,-,-
Alchemy Stars,PROXIMA BETA PTE.LIMITED,Public,31.857 ,1000000,4.4,197000,Role Playing,Tactical,Single player,Stylized,Anime,-
Seven Deadly Sins: Grand Cross,Netmarble Corporation,Public,29.281 ,1000000,4.1,73100,Role Playing,Turn-based RPG,Stylized,Anime,-,-
Dragon Quest of the Stars,SQUARE ENIX,Public,31.547 ,1000000,3.5,105000,Role Playing,Action-strategy,Single player,Stylized,Anime,-
ONE PIECE Bounty Rush,BANDAI NAMCO Entertainment Inc.,Public,21.108 ,1000000,4.3,46900,Action,Fighting,Multiplayer,Stylized,Anime,-
Super Robot Wars DD,BANDAI NAMCO Entertainment Inc.,Public,38.417 ,100000,3.3,15300,Role Playing,Tactical,Single player,Stylized,Anime,-
Lords Mobile: Tower Defense,IGG.COM,Public,41.593 ,100000000,4.2,8010000,Strategy,4X,Casual,Multiplayer,Competitive multiplayer,Single player
Fishdom,Playrix,Private,42.484 ,100000000,4.2,5740000,Puzzle,Match 3,Match 3 adventure,Single player,Stylized,Offline
eBaseball Powerful Pro Baseball,KONAMI,Public,25.562 ,5000000,4.4,96500,Sports,Baseball,Single player,Stylized,Anime,-
Disney Twisted Wonderland,Aniplex Inc.,Public,25.328 ,1000000,4.1,64600,Role Playing,Turn-based RPG,Single player,Stylized,Anime,-
#COMPASS*—Combat Providence Analysis System,NHN PlayArt 株式会社,Public,30.333 ,100000,3.9,9380,Productivity,-,-,-,-,-
Pocolon Dungeons,"Grenge, Inc.",Private,35.583 ,1000000,3.9,82700,Role Playing,Puzzle Role-playing,Match 3 RPG,Single player,Stylized,Anime
Call of Duty: Mobile,"Activision Publishing, Inc.",Public,35.985 ,100000000,3.6,15400000,Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer
The Wizard's Promise,"coly, Inc.",Public,30.135 ,100000,4.4,6290,Simulation,Single player,Stylized,Anime,-,-
Rise-Hana and Takeshi no Sengoku,YOOZOO (SINGAPORE) PTE. LTD.,Public,43.283 ,1000000,3.7,15000,Simulation,Life,Empire building,Single player,Stylized,Anime
Daily Interior,Ujoy,Private,44.182 ,1000000,4.2,20800,Simulation,Life,Empire building,Single player,Stylized,Stylized-realistic
Assault Lily Last Bullet,"Pokelabo, Inc.",Public,39.850 ,100000,3.4,12800,Role Playing,Stylized,Anime,-,-,-
Shishi no Gotoku: Sengoku Haō Senki,Six Waves Inc.,Public,36.692 ,500000,4.4,7960,Strategy,Single player,Multiplayer,Stylized,Stylized-realistic,-
One Piece: Thousand Storm,BANDAI NAMCO Entertainment Inc.,Public,31.590 ,1000000,3.6,44300,Role Playing,Turn-based RPG,Stylized,Anime,-,-
La Corda D'oro Starlight Orchestra,"KOEI TECMO GAMES CO., LTD.",Public,38.500 ,50000,3.8,1520,Simulation,Life,Single player,Stylized,Anime,-
Nogisaka-like Fractal,gumi Inc.,Public,41.000 ,100000,4.1,3470,Music,Performance,Stylized,Anime,-,-
